icao24,min_altitude,max_altitude,mean_altitude,min_velocity,max_velocity,mean_velocity,latitude_range,longitude_range,duration,z_score_max,zscore_anomaly,turning_anomaly
a40ca4,6088.38,7269.48,6413.296799999999,213.98,225.66,223.4576,0.119299999999999,0.0073000000000007,2867.0,0.6184433252950704,False,True
a40cd9,10058.4,10058.4,10058.4,5.92,245.46,65.805,0.0,0.0,56.0,3.714379109547633,True,False
a40d7a,11117.58,11582.4,11557.406400000002,224.67,255.38,227.65680000000003,2.001100000000001,2.2073999999999927,2867.0,0.9470046370841745,False,True
a40d8d,9136.38,9136.38,9136.38,235.68,235.68,235.68,0.0,0.0,127.0,1.5238838990289,False,False
a41090,7665.72,11590.02,8559.3936,223.16,224.52,224.0272,7.313500000000001,19.44109999999999,2867.0,4.581863711515632,True,True
a41144,2255.52,10668.0,8888.383636363636,139.95,260.18,222.84681818181815,11.611800000000002,7.473999999999989,2884.0,5.335842930805742,True,False
a41447,10812.78,10812.78,10812.78,8.75,8.75,8.75,0.0,0.0,0.0,4.316322538337377,True,False
a414e8,6949.44,6964.68,6959.599999999999,245.02,245.31,245.2133333333333,0.0063999999999992,0.007000000000005,140.0,1.5137195727821073,False,False
a414fb,10668.0,10668.0,10668.0,242.33,244.1,242.73846153846156,0.1257999999999981,0.1897000000000019,986.0,0.8522564954908377,False,False
a416be,1493.52,1493.52,1493.52,121.37,121.37,121.36999999999998,0.0,0.0,163.0,2.043025072032295,False,False
a41743,10972.8,10972.8,10972.799999999996,211.06,211.11,211.08068965517248,0.0008999999999943,0.0111999999999881,1138.0,0.8217002342153512,False,False
a417af,11574.78,11582.4,11580.433548387102,217.39,217.39,217.39000000000007,0.0021999999999948,0.0096999999999951,842.0,0.9838366979307344,False,False
a417c9,3474.72,3931.92,3617.595,191.38,201.98,196.07208333333332,0.0075999999999964,0.1295999999999963,1360.0,1.3358509051103449,False,False
a417fe,11582.4,11582.4,11582.399999999998,228.6,229.26,228.99439024390244,0.0033999999999991,0.0884000000000071,2746.0,0.9858890582309289,False,False
a41941,11003.28,11003.28,11003.280000000002,226.05,226.57,226.4865789473684,0.035899999999998,0.0729999999999999,2162.0,0.8299096754161305,False,True
a41b89,556.26,10363.2,3042.1118181818183,90.4,205.47,124.37670454545454,0.3972999999999942,7.734300000000005,2956.0,2.1374701176826574,False,False
a41c56,4023.36,4823.46,4527.731428571427,186.09,201.1,196.5276984126984,0.1052999999999997,0.1591999999999984,3592.0,1.185299981366194,False,False
a41cf8,3398.52,3398.52,3398.52,152.49,152.49,152.49,0.0,0.0,17.0,1.6098897365017601,False,False
a41e74,10736.58,10972.8,10834.240408163269,229.12,231.77,230.77908163265303,0.0070999999999976,0.1007000000000033,3169.0,0.8545684427205592,False,False
a41e90,7924.8,7924.8,7924.8,230.42,230.88,230.6665,0.029999999999994,0.0120000000000004,2219.0,0.4761520063814259,False,False
a41e94,4838.7,5013.96,4949.951999999999,188.26,190.43,189.56,0.0246999999999992,0.0234999999999985,1217.0,1.0220423685387294,False,False
a41f37,6591.3,6987.54,6713.219999999998,218.67,225.86,220.36329787234047,0.0027000000000043,0.2194000000000073,3592.0,1.185299981366194,False,False
a42020,7551.42,7551.42,7551.42,243.19,243.19,243.19,0.0,0.0,17.0,1.6098897365017601,False,False
a422f7,10363.2,10363.2,10363.199999999995,230.46,231.07,230.9094871794872,0.1758000000000024,0.0439000000000078,3592.0,1.185299981366194,False,False
a42323,9448.8,9448.8,9448.799999999996,261.25,261.25,261.25,0.0015,0.0040000000000048,1121.0,1.0516267248851805,False,False
