icao24,min_altitude,max_altitude,mean_altitude,min_velocity,max_velocity,mean_velocity,latitude_range,longitude_range,duration
407e69,10972.8,10972.8,10972.799999999997,226.19,229.65,228.4091666666667,0.19010000000000105,0.1921999999999997,3592.0
407e7d,11582.4,11582.4,11582.399999999992,220.19,220.88,220.35726315789483,0.024799999999999045,0.07699999999999996,3306.0
407ea0,365.76,449.58,373.38000000000005,78.04,81.75,78.41384615384615,0.00560000000000116,0.019600000000000506,286.0
407eb2,10675.62,10675.62,10675.619999999999,244.42,244.42,244.42,0.0,0.0,192.0
407eeb,8534.4,8557.26,8545.315135135139,209.07,209.74,209.60648648648646,0.00280000000000058,0.010899999999999993,2423.0
407eec,10363.2,10363.2,10363.199999999997,190.68,190.87,190.75169811320762,0.01659999999999684,0.010200000000000209,1564.0
407f0d,7833.36,12192.0,11223.413333333334,226.99,227.59,227.45666666666665,2.022999999999996,10.2365,3149.0
407f0e,11582.4,11582.4,11582.4,200.62,200.68,200.63500000000002,0.05310000000000059,0.009699999999999598,2162.0
407f19,12192.0,12192.0,12192.0,241.85,241.85,241.84999999999997,0.018900000000002137,0.04449999999999932,338.0
407f2b,4770.12,5067.3,4920.705714285714,214.05,217.71,215.99428571428567,0.08749999999999858,0.02199999999999136,2706.0
407f2c,10668.0,10668.0,10668.0,291.61,291.92,291.84923913043485,0.0858999999999952,0.08689999999999998,3169.0
407f38,11574.78,11582.4,11579.668301886795,199.3,199.34,199.3067924528302,0.025799999999996714,0.0029000000000003467,1148.0
407f64,4572.0,10965.18,5083.4544,170.16,229.54,212.6864,9.846000000000004,9.559800000000001,2867.0
407f66,3543.3,3665.22,3612.5727272727268,185.43,187.93,185.73818181818186,0.021599999999999397,0.1398999999999999,2884.0
407f67,518.16,11582.4,2573.3922413793102,77.9,179.47,99.22448275862068,3.3340999999999994,1.8879000000000001,3592.0
407f79,1165.86,1424.94,1305.6869999999997,89.06,103.62,101.39433333333331,0.05099999999999483,0.11970000000000003,3592.0
407f7a,11582.4,11590.02,11585.24703296703,201.24,201.73,201.61153846153852,0.09729999999999706,0.041999999999999815,3206.0
407f7b,10972.8,11887.2,11231.592452830191,204.97,228.86,211.6603773584906,3.081699999999998,7.780700000000001,3592.0
407f7c,10668.0,10668.0,10668.0,190.73,190.73,190.73,0.0,0.0,17.0
407f7d,2377.44,2415.54,2394.685263157895,138.98,139.55,139.29499999999993,0.0009000000000014552,0.011500000000000066,963.0
407fae,11582.4,11582.4,11582.399999999998,229.53,230.48,230.2640909090908,0.10560000000000258,0.057800000000000296,812.0
407faf,11582.4,11582.4,11582.400000000001,192.67,203.06,199.4383018867925,4.662800000000004,5.0097,1843.0
407fc1,10683.24,10980.42,10926.775199999998,232.62,243.42,234.97400000000002,3.8670000000000044,2.593300000000001,2867.0
407fc7,10980.42,10980.42,10980.42,234.4,234.4,234.4,0.0,0.0,17.0
407fc9,10363.2,10378.44,10370.5152,242.01,242.71,242.31959999999998,0.06629999999999825,0.17319999999999958,2867.0
407fca,3962.4,4221.48,3990.7464,171.63,177.79,172.47639999999996,0.07309999999999661,0.06930000000000014,2867.0
407fcc,10668.0,10668.0,10668.0,256.39,257.04,256.6718181818182,0.02300000000000324,0.10599999999999987,2884.0
407fcd,175.26,175.26,175.26000000000005,0.64,0.77,0.7266666666666666,9.999999999621423e-05,0.0,1107.0
407ff4,2948.94,3299.46,3088.5384000000004,157.98,162.1,159.9892,0.001799999999995805,0.09890000000000043,2867.0
407fff,11262.36,11262.36,11262.359999999997,233.62,234.46,234.08318181818177,0.02769999999999584,0.13809999999999967,2884.0
408000,11574.78,11590.02,11582.520952380944,184.94,185.65,185.33452380952383,0.14580000000000126,0.15450000000000008,3592.0
408011,11269.98,11277.6,11275.169482758622,243.7,244.99,244.1793103448276,0.09090000000000487,0.19430000000000014,3592.0
408016,8237.22,8237.22,8237.22,232.73,232.73,232.73,0.0,0.0,127.0
408032,10668.0,10668.0,10668.0,227.43,230.53,229.20590909090907,0.030000000000001137,0.1411,2884.0
408033,4008.12,4015.74,4012.0388571428566,158.86,160.71,159.63714285714286,0.0029000000000038995,0.0035999999999998256,1260.0
40803c,10972.8,10972.8,10972.800000000005,242.55,243.15,242.91489361702128,0.0840999999999994,0.0226999999999995,3169.0
40803e,10972.8,10972.8,10972.800000000003,226.05,226.05,226.04999999999998,0.05460000000000065,0.08099999999999952,3151.0
40803f,3832.86,4122.42,3959.8169491525427,179.38,181.14,180.0723728813559,0.021499999999996078,0.028300000000001546,3184.0
408040,11582.4,11582.4,11582.399999999996,190.55,190.96,190.70330357142862,0.03509999999999991,0.040000000000000036,3009.0
408041,11567.16,11582.4,11579.656800000002,209.43,228.26,224.2088,0.1238000000000028,0.11129999999999995,2867.0
