icao24,min_altitude,max_altitude,mean_altitude,min_velocity,max_velocity,mean_velocity,latitude_range,longitude_range,duration,PCA1,PCA2,kmeans_cluster
040048,11879.58,11887.2,11885.407058823528,257.34,257.35,257.3435294117647,0.0322000000000031,0.0012000000000007,2378.0,-2.396111694994527,-0.5037956205197217,2
04004b,11879.58,11879.58,11879.579999999998,256.93,270.87,267.65307692307687,6.559800000000003,3.591799999999999,423.0,-2.6459985070233203,1.5979342160033305,0
040066,9753.6,9753.6,9753.6,266.45,266.95,266.6861111111112,0.0022000000000019,0.0103000000000008,1701.0,-1.8619984977598423,-0.6821712264463787,2
040087,11574.78,11582.4,11579.710588235292,258.56,258.91,258.8894117647059,0.0199999999999995,0.0750999999999919,2632.0,-2.3372526183566684,-0.4211739602995302,2
040123,4838.7,4846.32,4842.396268656717,174.25,175.78,175.3,0.0168000000000034,0.2237999999999971,3592.0,1.9849337899585746,0.1212935524521472,1
040127,3322.32,3322.32,3322.3200000000006,158.69,158.69,158.69,0.0,0.0,192.0,3.051525594317831,-0.8271885116449413,1
040131,457.2,457.2,457.19999999999993,84.82,84.82,84.81999999999996,0.0,0.0,233.0,5.8394185606143125,-0.6474092945196381,1
040132,11277.6,11277.6,11277.600000000008,255.47,256.61,255.84067796610168,0.1226999999999947,0.1138000000000012,3592.0,-2.2060209237460784,-0.101746204909502,2
040141,11269.98,11269.98,11269.98,259.77,259.77,259.77,0.020399999999995,0.0118999999999971,52.0,-2.1486961506298377,-1.154140987409204,2
040173,10317.48,10439.4,10390.0224,283.93,285.05,284.4544,0.1002000000000009,0.1623000000000019,2867.0,-2.563906458436566,-0.3334287932440287,2
040188,10668.0,10668.0,10668.0,269.79,269.79,269.79,0.0007000000000019,0.0028999999999999,439.0,-2.200944607411849,-1.0596404298461164,2
040199,11574.78,11582.4,11579.01333333333,265.22,269.45,267.1562962962963,0.0265000000000021,0.0887000000000028,3206.0,-2.569931287140712,-0.26242466073860976,2
040203,8801.1,8961.12,8903.5128,266.66,268.48,267.8007999999999,0.1022999999999996,0.1325999999999965,2867.0,-1.638844600499387,-0.28304736463608465,2
040233,10058.4,10058.4,10058.399999999998,239.84,244.55,241.2171428571428,7.184099999999997,0.9540000000000006,3592.0,-1.5550788194947043,2.315512096418601,0
04c0fb,1310.64,1318.26,1313.1799999999998,95.96,97.11,96.34333333333336,0.0011999999999998,0.0006000000000057,368.0,5.2536935713177435,-0.6397660921952348,1
04c11b,10668.0,10668.0,10668.0,263.38,263.38,263.38000000000005,0.0,0.0,233.0,-2.0361656847062912,-1.1077143391895297,2
04c159,7063.74,7406.64,7293.630483870968,188.51,215.19,207.38241935483876,0.1193999999999988,0.1313999999999993,3592.0,0.43747593658095035,0.10776311936828945,2
060041,7894.32,12192.0,9683.634545454546,243.5,250.34,244.58681818181813,2.209399999999995,5.6163,2884.0,-1.5773295555435447,1.4276420069816564,0
060047,5905.5,5905.5,5905.5,172.25,172.25,172.25,0.0,0.0,127.0,1.83285001976482,-0.9099234006668726,1
06a064,10972.8,10972.8,10972.799999999996,256.36,258.14,257.4222727272727,0.0679999999999996,0.0815999999999945,2884.0,-2.104010242737165,-0.3194257305027209,2
06a072,9144.0,10058.4,9292.281081081082,242.94,265.42,261.7745945945946,2.2558000000000007,8.847100000000001,2956.0,-1.721401149808045,1.8892488273344517,0
06a079,10668.0,10668.0,10668.0,242.65,243.74,243.12643678160933,0.0421999999999997,0.0430999999999954,3306.0,-1.6700962749883372,-0.18807377963651195,2
06a080,9753.6,9753.6,9753.600000000002,248.75,249.26,248.96371134020623,0.0144999999999981,0.0982000000000056,2850.0,-1.478032764827171,-0.3119295610165184,2
06a081,12496.8,12496.8,12496.8,229.1,237.4,230.04318181818175,0.331000000000003,7.595200000000005,3592.0,-2.126937287839397,1.1965715654091764,2
06a095,5669.28,7200.9,6996.683999999998,218.95,227.9,222.42666666666668,0.1988999999999983,0.1522999999999967,2762.0,0.21983011895674998,-0.11261415184183096,2
06a097,4160.52,4160.52,4160.520000000002,168.56,169.05,168.69066666666666,0.0120000000000004,0.0377000000000009,338.0,2.510021416242013,-0.805640953160103,1
06a09b,9144.0,9197.34,9152.015844155843,240.38,241.65,240.61454545454555,0.1307999999999971,0.1711000000000027,3592.0,-1.1102500415049665,-0.028702128630107324,2
06a0a5,12184.38,12192.0,12189.5616,244.93,245.95,245.7916,0.0227000000000003,0.1599000000000003,2867.0,-2.2356846122989826,-0.3276456506954516,2
06a0a9,9913.62,12496.8,12140.499310344823,265.5,265.5,265.5,1.921199999999999,12.491500000000002,2688.0,-2.649304596244972,2.257155270876823,0
06a0af,12184.38,12192.0,12187.645714285713,262.98,263.49,263.2714285714286,0.000399999999999,0.014400000000009,283.0,-2.5594881757137435,-1.1146449041222364,2
06a0b3,11574.78,11582.4,11578.643661971832,260.54,261.25,260.87309859154936,0.0115000000000016,0.0088000000000008,2105.0,-2.3662630222644543,-0.58546731670157,2
06a0b5,12192.0,12192.0,12192.0,271.24,271.24,271.23999999999995,0.0019999999999988,0.0095000000000027,634.0,-2.769755044115154,-1.0305884056824268,2
06a0ba,11269.98,11277.6,11275.654468085102,271.91,271.91,271.91,0.0089999999999932,0.0573000000000014,3169.0,-2.5736377771114363,-0.2937196811448741,2
06a0dd,1203.96,1226.82,1209.5479999999998,111.08,111.08,111.07999999999998,0.0045000000000001,0.0011999999999989,1225.0,4.897608321877433,-0.42162489750661375,1
06a0df,11277.6,11277.6,11277.6,248.13,248.13,248.13,0.0,0.0,17.0,-1.865565577155303,-1.1533224603494645,2
06a0e4,11887.2,11887.2,11887.199999999992,288.74,288.74,288.73999999999995,0.0011000000000009,0.0119000000000006,2018.0,-3.147908638676132,-0.6650965300710717,2
06a0e9,10264.14,10264.14,10264.14,269.19,269.19,269.19,0.0,0.0,233.0,-2.0386441621330573,-1.1106797217571298,2
06a0f4,12192.0,12192.0,12192.0,262.0,262.48,262.128,0.0136000000000002,0.0437000000000011,338.0,-2.538009965978814,-1.088928035723682,2
06a0f5,11582.4,11582.4,11582.399999999998,261.78,262.23,262.01181818181817,0.0251000000000001,0.0460999999999955,2158.0,-2.3974357041222296,-0.5628998629759167,2
06a0f8,9563.1,9563.1,9563.100000000002,267.99,267.99,267.98999999999995,0.0008999999999979,0.0054999999999978,1202.0,-1.8072250744147154,-0.8236031279234407,2
06a0fb,11582.4,11582.4,11582.399999999998,233.48,233.48,233.48,0.0313000000000016,0.1015000000000014,374.0,-1.629332513097661,-1.0076323660960138,2
06a102,12496.8,12496.8,12496.799999999996,250.32,250.32,250.32,0.0109999999999992,0.0063999999999992,1383.0,-2.3951840331688397,-0.7881769516065449,2
06a107,11887.2,11887.2,11887.200000000004,266.8,266.8,266.80000000000007,0.0014000000000038,0.0128000000000003,1243.0,-2.5812071752320747,-0.8467131637738752,2
06a10d,11887.2,11894.82,11889.27818181818,289.16,289.67,289.3945454545455,0.0082000000000022,0.0669000000000004,1217.0,-3.1336585746730132,-0.8792662400634197,2
06a10e,11887.2,11887.2,11887.200000000004,268.4,285.36,284.3559090909091,3.1251999999999995,8.2849,2884.0,-3.095575591149845,1.938017048147218,0
06a10f,12192.0,12192.0,12192.0,272.4,273.09,272.8678409090909,0.0548000000000001,0.1155000000000114,3169.0,-2.9129991349895046,-0.2853304844260907,2
06a11f,4815.84,5143.5,5020.235294117647,185.37,187.69,186.71882352941176,0.0153999999999996,0.0557000000000016,2884.0,1.6813644147773656,-0.11497908487881009,1
06a121,11582.4,11582.4,11582.4,267.9,268.81,267.97000000000014,0.0738000000000003,0.1423000000000058,3592.0,-2.6093440893391326,-0.1381524596613367,2
06a12e,6781.8,6781.8,6781.8,232.22,232.22,232.21999999999997,0.0,0.0,233.0,0.06367366038833408,-0.9930480566883567,2
06a138,10058.4,10058.4,10058.399999999998,254.99,255.43,255.32000000000008,0.0319000000000002,0.0537999999999954,742.0,-1.649647979691961,-0.9217583291104159,2
06a147,11894.82,11894.82,11894.820000000003,280.71,280.71,280.71,0.0018000000000029,0.006300000000003,286.0,-2.8840736317424662,-1.1397532084540232,2
06a14b,11582.4,11582.4,11582.399999999994,258.41,260.83,259.2480851063829,0.2259999999999991,0.1732999999999975,3592.0,-2.399794435105865,-0.06797094709962208,2
06a19d,4968.24,5417.82,5184.024545454548,179.3,194.06,182.5663636363637,0.0177000000000013,0.0831999999999979,618.0,1.7309131486636071,-0.7211332751208168,1
06a1c0,10363.2,10363.2,10363.2,270.24,270.24,270.2399999999999,0.0,0.0,268.0,-2.099832701305247,-1.1041806936062666,2
06a1e6,8534.4,8542.02,8541.217894736841,198.89,198.93,198.9257894736842,0.0006000000000021,0.0023000000000052,1987.0,0.19857503632265222,-0.47283338022077886,2
06a1ec,10355.58,10363.2,10362.237473684208,266.48,268.26,267.58284210526307,0.0108999999999994,0.1817999999999955,3592.0,-2.1690977647499032,-0.12875127768572556,2
06a2af,10058.4,10058.4,10058.4,250.2,250.2,250.2,0.0030000000000001,0.0144000000000001,2122.0,-1.5816606103762763,-0.541618005297261,2
06a2b2,10363.2,10363.2,10363.2,262.64,262.89,262.7471428571429,0.0205000000000001,0.038800000000009,476.0,-1.9266599154957558,-1.0202253801510348,2
06a2b4,10058.4,10058.4,10058.4,230.33,232.08,231.3264,0.0291999999999958,0.1946000000000003,2867.0,-1.152912534224832,-0.26061308183180076,2
06a2c5,10363.2,10363.2,10363.2,265.02,265.02,265.02,0.0,0.0,286.0,-1.9732434675555661,-1.090533442045089,2
06a2c7,10668.0,10668.0,10668.0,272.93,273.95,273.4863636363636,0.0168999999999996,0.1322000000000009,2884.0,-2.392078314236099,-0.3504071094804277,2
06a2df,9448.8,10972.8,9753.6,232.63,277.99,249.1724,1.3352999999999966,20.4183,2867.0,-1.9395109045511165,3.4883754571195267,0
06a2e1,10363.2,10363.2,10363.2,262.35,262.53,262.40625,0.0240000000000009,0.0718999999999994,2706.0,-2.009780981894986,-0.38628377804259617,2
06a376,11277.6,11277.6,11277.6,238.54,238.54,238.54,0.0,0.0,17.0,-1.631653210444179,-1.1375496660742008,2
06a381,2217.42,2247.9,2220.190909090909,100.8,102.84,100.98545454545454,0.0082999999999984,0.0062000000000068,300.0,4.8170092958507675,-0.6765639624089873,1
06a387,10972.8,10972.8,10972.8,247.0,248.15,247.6430555555556,0.0405000000000015,0.0767000000000024,2482.0,-1.8499530285179355,-0.42710742299726445,2
06a388,4145.28,4290.06,4211.611475409836,189.23,191.78,190.34557377049185,0.0261999999999993,0.0161999999999977,1678.0,1.9056980760438995,-0.45599454869075295,1
06e010,10058.4,10058.4,10058.399999999998,226.94,226.94,226.93999999999997,0.0084000000000017,0.0053,352.0,-0.9422050854638155,-1.0008626469610828,2
06e028,10668.0,10668.0,10668.0,224.63,224.63,224.63,0.0,0.0,245.0,-1.091492447826803,-1.040607156457201,2
090062,11574.78,11582.4,11580.721016949152,207.87,208.27,208.01330508474567,0.0945,0.1318000000000019,3592.0,-1.1405866609008708,-0.03499817681061562,2
0a0019,10668.0,10668.0,10668.0,196.22,196.22,196.22,0.0,0.0,233.0,-0.3980473793549816,-0.9972554378833005,2
0a0022,6202.68,6713.22,6619.875,213.77,221.99,218.0254166666667,0.1407999999999987,0.0085,2762.0,0.392399642482003,-0.1772104118549147,2
0a0024,10652.76,10660.38,10656.570000000002,189.47,189.58,189.48,0.0572000000000016,0.0158000000000004,2884.0,-0.3395082887105254,-0.2194659027131584,2
0a008b,655.32,906.78,717.3685714285714,85.04,86.55,85.39857142857144,0.0009000000000014,0.0248000000000003,2354.0,5.626209921841505,-0.04214127829709322,1
0a0091,9448.8,9448.8,9448.8,238.25,239.69,239.54599999999996,0.0934999999999988,0.1441999999999998,2867.0,-1.1362659347510191,-0.2520633389033501,2
0a009a,10622.28,11163.3,10942.9296,235.24,240.99,237.2572,0.1445000000000007,0.0989000000000004,2867.0,-1.612296484495318,-0.2396974529242734,2
0a009c,10629.9,10690.86,10660.017142857145,224.1,228.38,225.9290476190476,0.0511999999999943,0.0099,2706.0,-1.229275652081007,-0.32340001033821647,2
0a806f,9144.0,9144.0,9144.0,240.22,240.56,240.2461538461538,0.0245999999999995,0.0326000000000021,2776.0,-1.0532445080085444,-0.3161850346301632,2
0aca89,4053.84,4152.9,4103.768059701494,157.94,158.97,158.56134328358212,0.0349000000000003,0.0263999999999953,1343.0,2.7383189517666806,-0.4956643087336134,1
0aca8e,5745.48,6423.66,5877.966399999999,198.68,203.41,201.7748,0.1710999999999991,0.0575000000000045,3592.0,0.9369822988728588,0.1085502190568715,2
