icao24,min_altitude,max_altitude,mean_altitude,min_velocity,max_velocity,mean_velocity,latitude_range,longitude_range,duration,iforest_anomaly,iforest_score
aabf50,1752.6,1927.86,1831.6470329670333,140.42,142.23,141.5186813186813,0.0171999999999989,0.0194000000000045,3254.0,0,-0.032693268703393286
aabf80,868.68,868.68,868.6800000000002,74.11,78.94,76.95412213740458,0.0643999999999991,0.0688999999999993,3592.0,0,0.0631972502374959
aac337,10668.0,10668.0,10668.0,245.48,246.14,245.7342857142857,0.0204999999999984,0.0656000000000034,2901.0,0,-0.13219812900212935
aac3f4,8839.2,8900.16,8853.307297297295,248.01,249.15,248.5554054054054,0.0444999999999993,0.0227000000000003,2175.0,0,-0.09520993340424622
aac5ec,10668.0,10668.0,10668.0,249.18,249.9,249.55241379310343,0.0503,0.0818000000000012,2379.0,0,-0.12093190641702961
aac6ee,7924.8,7924.8,7924.800000000001,234.13,234.13,234.13000000000005,0.0,0.0,233.0,0,-0.08115238219760135
aac7ab,5394.96,10668.0,9966.8409375,211.13,244.13,239.34812500000004,5.727999999999998,1.7179000000000002,3592.0,0,0.010271256832318554
aac7b1,2392.68,4373.88,2927.811818181818,142.24,192.45,145.84227272727276,8.039700000000003,14.22189999999999,2884.0,0,0.13570281295560582
aac87b,2301.24,2354.58,2349.5000000000005,110.68,110.68,110.68,0.0037999999999982,0.0001000000000033,352.0,0,0.01069487826888671
aac954,10668.0,10668.0,10668.0,254.5,256.35,256.1641025641024,0.0197000000000002,0.23960000000001,3592.0,0,-0.10336442322986089
aacad4,11269.98,11277.6,11276.735876288663,251.23,252.76,251.829175257732,0.1034000000000006,0.016300000000001,3151.0,0,-0.11053503849819785
aacc5b,5638.8,6393.18,6117.751636363636,208.23,211.89,210.478909090909,0.1022999999999996,0.1277000000000043,2478.0,0,-0.07400538436459586
aacd50,9753.6,9753.6,9753.600000000002,208.83,208.83,208.83,0.0,0.0,299.0,0,-0.07731414501705147
aacd96,4846.32,4846.32,4846.320000000001,156.59,157.7,157.05818181818182,0.0243999999999999,0.1884000000000014,3592.0,0,-0.01945515990075075
aacf19,7025.64,10668.0,10180.666363636365,194.9,256.33,237.2481818181818,2.1887000000000043,26.49900000000001,2884.0,0,0.06295949947541302
aad3c9,10972.8,10972.8,10972.8,237.24,237.24,237.24,0.0,0.0,265.0,0,-0.11905584930239982
aad780,8359.14,8526.78,8395.335,239.86,242.02,240.375,0.0376000000000047,0.0621000000000009,2847.0,0,-0.10981988337092374
aae1ea,10965.18,10972.8,10967.842409638555,241.0,243.23,241.92,0.0165999999999968,0.1004000000000076,2326.0,0,-0.1290974835880389
aae316,10980.42,10980.42,10980.420000000004,232.24,232.96,232.65090909090912,0.0752999999999985,0.0738000000000056,2884.0,0,-0.13309466848876567
aae582,960.12,960.12,960.12,116.8,116.8,116.8,0.0,0.0,0.0,0,0.013305577982261285
aae5f7,10668.0,10668.0,10668.0,254.41,254.41,254.41,0.0009999999999976,0.0108000000000032,140.0,0,-0.10764888915361909
aae6d5,259.08,274.32,260.4654545454545,62.29,62.73,62.33,0.0034999999999953,0.0028000000000076,423.0,0,0.08762186556511964
aae73b,1630.68,2004.06,1787.3472,132.75,141.51,134.59079999999997,0.0007999999999981,0.089500000000001,2867.0,0,-0.0301262278121745
aae789,350.52,457.2,393.7000000000001,64.92,67.94,65.9409523809524,0.0009000000000014,0.0237000000000051,2706.0,0,0.07835840532101057
aae9a3,9144.0,9144.0,9144.0,217.93,218.54,218.13285714285715,0.1040999999999954,0.1955000000000097,3592.0,0,-0.08640972335422542
aaea84,11277.6,11277.6,11277.600000000002,236.66,237.19,236.88292682926823,0.0476000000000027,0.0437000000000011,2800.0,0,-0.1261589271042326
aaeae5,11277.6,11277.6,11277.600000000004,230.4,235.39,233.44166666666672,0.206000000000003,0.0799000000000091,3592.0,0,-0.10178217896181452
aaeb6a,10972.8,10980.42,10977.985833333332,230.78,231.21,231.07861111111112,0.028500000000001,0.0223999999999904,2144.0,0,-0.12754002910248396
aaec9c,1760.22,1912.62,1831.5991836734695,136.33,151.76,141.03418367346933,0.0001999999999995,0.061000000000007,2570.0,0,-0.03062277246578149
aaed0c,502.92,502.92,502.92,83.4,83.4,83.4,0.0,0.0,192.0,0,0.03070135922494932
aaed0d,3063.24,3474.72,3291.147272727273,148.16,159.5,153.44227272727275,0.0427999999999997,0.0006999999999948,2884.0,0,-0.048824671719034596
aaed17,10660.38,10683.24,10670.999999999998,251.07,252.32,251.4665354330708,0.2102000000000004,0.1965000000000003,3592.0,0,-0.09774373150563048
aaee3b,9448.8,9448.8,9448.8,242.11,242.11,242.11,0.0,0.0,17.0,0,-0.10158673595463291
aaef60,7269.48,7322.82,7318.102857142859,179.28,237.15,198.37380952380957,0.0783999999999984,0.0741000000000013,2706.0,0,-0.06967605377346625
aaf0c3,5532.12,5654.04,5556.503999999999,177.65,179.26,177.97199999999998,0.0075000000000002,0.0232999999999918,1165.0,0,-0.054236035158878704
aaf111,6797.04,7117.08,6913.764545454545,209.69,210.72,210.5609090909091,0.0452999999999974,0.0850000000000079,2884.0,0,-0.08826813450233367
aaf1fa,8778.24,8907.78,8838.068316831685,245.58,246.73,246.2087128712871,0.0372000000000056,0.0969999999999942,3236.0,0,-0.10257086590696968
aaf260,10363.2,10363.2,10363.199999999995,216.53,217.31,216.95104347826089,0.1447999999999965,0.1641000000000048,3592.0,0,-0.10170390934533896
aaf29f,4914.9,11277.6,6006.3888,182.65,227.27,190.1756,4.836200000000005,3.743899999999997,2867.0,0,0.008974869537099694
aaf485,10363.2,10363.2,10363.2,237.78,237.78,237.7800000000001,0.0,0.0,268.0,0,-0.12178597667792784
aaf4c8,10363.2,10363.2,10363.200000000004,227.08,235.58,228.0040909090909,0.0239000000000046,0.1123000000000047,2884.0,0,-0.13681157686398537
aaf53a,11894.82,11902.44,11895.255428571429,238.88,239.17,238.91314285714284,0.0112999999999985,0.0097999999999984,1331.0,0,-0.06995138802211126
aaf5a9,8534.4,8534.4,8534.4,226.01,226.72,226.2081609195401,0.0424000000000006,0.0812999999999988,3306.0,0,-0.1044982527174505
aaf617,7231.38,7231.38,7231.380000000001,223.84,223.84,223.84000000000003,0.0,0.0,280.0,0,-0.06627948692498142
